Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Office Machines,Redding,Small Box,923,Dana Heller,Small Business,Technology,10941,AT&T 1430 2.4GHz Analog Phone w/Caller ID,9/28/2015,87137,Medium,96003,West,3/12/1971,9/28/2015,Regular Air,California,0.02,17,0.54,396,727,9,41
Bookcases,Ames,Jumbo Box,1779,Samantha Hall,Consumer,Furniture,11202,"Bush Westfield Collection Bookcases, Fully Assembled",5/29/2013,89945,Medium,50010,Central,2/6/1972,5/28/2014,Delivery Truck,Iowa,0.08,1,0.62,-160,112,36,101
Computer Peripherals,Montebello,Small Pack,1155,Alex Nicholson,Consumer,Technology,11167,"Memorex 4.7GB DVD-RAM, 3/Pack",7/17/2015,90856,Not Specified,90640,West,3/8/1964,7/17/2015,Regular Air,California,0.01,14,0.42,325,471,2,32
Computer Peripherals,Littleton,Small Pack,1979,Marianne Weiner Ennis,Corporate,Technology,11248,Hewlett-Packard 4.7GB DVD+R Discs,10/1/2015,87758,Not Specified,80122,West,12/16/1950,10/2/2015,Regular Air,Colorado,0.07,11,0.49,37,94,2,9
Labels,Charlotte,Small Box,272,Eleanor Swain,Home Office,Office Supplies,10955,Avery 508,7/16/2015,35840,High,28204,South,10/3/1913,7/20/2015,Regular Air,North Carolina,0.04,52,0.36,55,250,1,5
Labels,Gilbert,Small Box,269,Calvin Boyette,Home Office,Office Supplies,10955,Avery 508,7/10/2015,88944,High,85234,West,1/14/1963,7/10/2015,Regular Air,Arizona,0.04,13,0.36,43,63,1,5
Office Furnishings,Keizer,Medium Box,80,Sam Carlson,Small Business,Furniture,10882,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",7/28/2015,89925,High,97303,West,2/18/1954,7/28/2015,Regular Air,Oregon,0.03,7,0.65,535,775,14,106
Telephones and Communication,Charlotte,Wrap Bag,272,Eleanor Swain,Home Office,Technology,10560,Accessory34,7/14/2016,35840,High,28204,South,10/4/1913,7/18/2016,Regular Air,North Carolina,0.08,71,0.55,792,5061,1,86
Telephones and Communication,Gilbert,Wrap Bag,269,Calvin Boyette,Home Office,Technology,10560,Accessory34,7/8/2016,88944,High,85234,West,1/15/1963,7/8/2016,Regular Air,Arizona,0.08,18,0.55,885,1283,1,86
Telephones and Communication,Philadelphia,Small Box,2238,Alexandra Kumar,Corporate,Technology,10440,T60,8/27/2016,7335,Low,19120,East,10/2/1902,8/29/2016,Regular Air,Pennsylvania,0.01,62,0.56,1196,5309,5,96
Telephones and Communication,Corvallis,Small Box,2237,Renee Conrad,Corporate,Technology,10440,T60,7/18/2016,89439,Low,97330,West,1/13/1952,7/18/2016,Regular Air,Oregon,0.01,16,0.56,133,1370,5,96
Paper,El Centro,Small Box,2930,Oscar Hale,Small Business,Office Supplies,10323,Xerox 1899,1/11/2016,87621,Low,92243,West,3/21/1950,1/11/2016,Regular Air,California,0.09,11,0.36,-58,60,5,6
Computer Peripherals,Clinton,Small Pack,1552,Glenn Krieder,Small Business,Technology,10145,"IBM 80 Minute CD-R Spindle, 50/Pack",10/3/2014,87490,Medium,39056,South,3/12/1960,10/3/2014,Regular Air,Mississippi,0.02,13,0.48,-27,270,2,21
Binders and Binder Accessories,Gladstone,Small Box,2131,Mary Hewitt,Home Office,Office Supplies,11095,Ibico Laser Imprintable Binding System Covers,9/14/2016,90080,Not Specified,64118,Central,2/26/1955,9/14/2016,Regular Air,Missouri,0.1,2,0.39,-3,107,16,52
Paper,Norristown,Wrap Bag,2017,Danny Schaefer,Home Office,Office Supplies,11249,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",8/1/2016,86936,Low,19401,East,6/3/1954,8/10/2016,Regular Air,Pennsylvania,0.03,15,0.4,80,116,2,7
Computer Peripherals,Clinton,Small Box,1552,Glenn Krieder,Small Business,Technology,10623,"Fellowes Basic 104-Key Keyboard, Platinum",9/30/2016,87490,Medium,39056,South,3/11/1960,9/30/2016,Regular Air,Mississippi,0.06,4,0.65,-79,85,6,21
Computer Peripherals,Portland,Small Pack,474,Rita Kahn Ward,Small Business,Technology,11188,BASF Silver 74 Minute CD-R,1/15/2016,91281,Medium,4101,East,1/2/1958,1/15/2016,Regular Air,Maine,0.01,5,0.51,-21,10,2,2
Telephones and Communication,Hazleton,Small Box,3304,Ronald Perry,Home Office,Technology,10221,Accessory27,7/2/2014,87798,Low,18201,East,9/16/1954,7/2/2014,Regular Air,Pennsylvania,0.05,11,0.85,-159,344,5,36
Tables,Attleboro,Jumbo Box,1378,Derek Shah,Small Business,Furniture,11159,Global Adaptabilities™ Conference Tables,12/5/2015,88215,Low,2703,East,8/21/1950,12/7/2015,Delivery Truck,Massachusetts,0.07,7,0.66,332,1897,36,281
Office Furnishings,Hazleton,Small Box,3304,Ronald Perry,Home Office,Furniture,10711,"Eldon® Image Series Desk Accessories, Burgundy",7/1/2015,87798,Low,18201,East,9/14/1954,7/1/2015,Regular Air,Pennsylvania,0.06,9,0.49,-95,39,7,4
Telephones and Communication,Hazleton,Small Pack,3304,Ronald Perry,Home Office,Technology,10616,Accessory24,6/29/2016,87798,Low,18201,East,9/15/1954,6/29/2016,Regular Air,Pennsylvania,0.04,13,0.59,297,594,3,56
Storage & Organization,Wake Forest,Small Box,2623,Gene Caldwell,Corporate,Office Supplies,10896,"Fellowes Personal Hanging Folder Files, Navy",7/11/2015,91444,High,27587,South,4/29/1961,7/13/2015,Regular Air,North Carolina,0.02,14,0.57,268,199,6,13
Pens & Art Supplies,Wake Forest,Wrap Bag,2623,Gene Caldwell,Corporate,Office Supplies,10173,"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",7/12/2014,91444,High,27587,South,4/28/1961,7/14/2014,Regular Air,North Carolina,0.04,1,0.51,110,7,2,6
Office Machines,Munster,Jumbo Drum,2850,Penny Davenport,Consumer,Technology,11251,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,1/7/2016,86455,Medium,46321,Central,8/5/1949,1/7/2016,Delivery Truck,Indiana,0.02,14,0.4,5,1613,56,116
Envelopes,East Meadow,Small Box,1312,Arlene Weber,Corporate,Office Supplies,10308,Staples Colored Interoffice Envelopes,8/12/2016,88953,Low,11554,East,8/8/1962,8/12/2016,Express Air,New York,0.04,17,0.36,-76,516,20,31
Computer Peripherals,Westerville,Small Box,1471,Danielle Daniel,Home Office,Technology,11182,Adesso Programmable 142-Key Keyboard,11/14/2016,87080,Medium,43081,East,11/24/1949,11/14/2016,Regular Air,Ohio,0.09,13,0.79,116,1948,4,152
Storage & Organization,Southbury,Large Box,2409,Florence Wilder,Small Business,Office Supplies,10023,"Eldon Base for stackable storage shelf, platinum",7/13/2015,85820,Low,6488,East,4/13/1949,7/13/2015,Regular Air,Connecticut,0.04,3,0.8,-230,131,35,39
Chairs & Chairmats,McKeesport,Jumbo Drum,1657,Janet Carroll,Small Business,Furniture,10814,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,1/7/2016,89067,Medium,15131,East,10/23/1954,1/7/2016,Delivery Truck,Pennsylvania,0.05,1,0.62,-115,184,30,161
Pens & Art Supplies,Creve Coeur,Wrap Bag,1765,Ralph Woods Scott,Consumer,Office Supplies,10775,SANFORD Liquid Accent™ Tank-Style Highlighters,11/18/2015,89779,Critical,63141,Central,6/8/1968,11/18/2015,Regular Air,Missouri,0.05,18,0.54,8,51,1,3
Computer Peripherals,San Diego,Small Box,1783,Erin Y Stewart,Home Office,Technology,11239,Belkin ErgoBoard™ Keyboard,9/21/2015,89860,High,92105,West,9/7/1965,9/21/2015,Express Air,California,0,18,0.64,49,570,7,31
Telephones and Communication,San Diego,Small Box,1783,Erin Y Stewart,Home Office,Technology,10466,T28 WORLD,9/21/2015,89860,High,92105,West,9/8/1965,9/21/2015,Regular Air,California,0.09,5,0.6,-274,803,9,196
Pens & Art Supplies,Waterville,Small Pack,1395,Peter Conway,Consumer,Office Supplies,11025,Boston 1730 StandUp Electric Pencil Sharpener,1/21/2016,88736,Low,4901,East,11/8/1960,1/21/2016,Regular Air,Maine,0,16,0.59,18,373,9,21
Storage & Organization,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,10381,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,11/6/2015,31492,Critical,2129,East,1/30/1912,11/9/2015,Regular Air,Massachusetts,0.03,41,0.79,-283,3831,20,95
Appliances,Lake In The Hills,Small Box,2500,Kevin Smith,Small Business,Office Supplies,10596,Staples 6 Outlet Surge,2/17/2016,88322,Critical,60102,Central,5/10/1961,2/17/2016,Regular Air,Illinois,0.04,12,0.58,-13,148,5,12
Appliances,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,10596,Staples 6 Outlet Surge,11/7/2014,31492,Critical,2129,East,1/28/1912,11/10/2014,Regular Air,Massachusetts,0.04,47,0.58,-15,582,5,12
Office Machines,Reading,Jumbo Box,1397,Ryan Chu,Consumer,Technology,11228,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,1/21/2016,88736,Low,1867,East,11/7/1960,1/21/2016,Delivery Truck,Massachusetts,0.1,13,0.36,2996,4761,48,401
Storage & Organization,Lake In The Hills,Small Box,2500,Kevin Smith,Small Business,Office Supplies,10675,Acco Perma® 2700 Stacking Storage Drawers,2/17/2016,88322,Critical,60102,Central,5/11/1961,2/17/2016,Express Air,Illinois,0.09,15,0.7,-23,429,7,30
Storage & Organization,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,10675,Acco Perma® 2700 Stacking Storage Drawers,11/6/2015,31492,Critical,2129,East,1/29/1912,11/9/2015,Express Air,Massachusetts,0.09,61,0.7,-25,1744,7,30
Copiers and Fax,Lodi,Jumbo Drum,1400,Joann Perry,Consumer,Technology,10360,Canon PC940 Copier,1/21/2016,88736,Low,7644,East,11/5/1960,1/21/2016,Delivery Truck,New Jersey,0.02,15,0.38,4929,7144,49,450
Storage & Organization,Naugatuck,Small Box,1394,Tommy Kidd,Consumer,Office Supplies,10274,"SimpliFile™ Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",1/21/2016,88736,Low,6770,East,11/6/1960,1/21/2016,Regular Air,Connecticut,0.1,6,0.57,-82,67,9,11
Computer Peripherals,Central Falls,Small Box,2519,Earl King,Home Office,Technology,10282,Fellowes 17-key keypad for PS/2 interface,9/20/2015,87036,Not Specified,2863,East,5/28/1954,10/5/2015,Regular Air,Rhode Island,0.05,14,0.75,10,439,4,31
Storage & Organization,Andover,Small Box,2510,Emily Adkins,Home Office,Office Supplies,10020,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",9/21/2014,87036,Not Specified,1810,East,5/27/1954,10/6/2014,Regular Air,Massachusetts,0.09,1,0.81,-131,58,20,53
Chairs & Chairmats,Pleasantville,Jumbo Drum,740,Sean Pratt,Consumer,Furniture,10574,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,9/30/2015,90364,Medium,8232,East,6/7/1965,9/30/2015,Delivery Truck,New Jersey,0.05,1,0.55,-368,285,54,259
Office Furnishings,Biddeford,Medium Box,725,April Bond,Consumer,Furniture,11106,DAX Solid Wood Frames,10/1/2014,90364,Medium,4005,East,6/6/1965,10/1/2014,Express Air,Maine,0.03,2,0.48,22,32,6,10
Binders and Binder Accessories,Roselle,Small Box,2518,Leigh Wyatt,Home Office,Office Supplies,10974,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",9/20/2015,87036,Not Specified,7203,East,5/29/1954,10/5/2015,Express Air,New Jersey,0.09,21,0.36,-160,103,6,5
Binders and Binder Accessories,San Francisco,Small Box,1796,Carlos Johnson,Corporate,Office Supplies,10507,Ibico Hi-Tech Manual Binding System,2/2/2016,90777,Low,94110,West,1/7/1958,2/2/2016,Express Air,California,0.03,15,0.4,3189,4622,20,305
Telephones and Communication,Sanford,Small Box,815,Stacy Reddy,Corporate,Technology,10246,Item 10246,9/16/2015,85909,Low,4073,East,6/8/1949,9/21/2015,Regular Air,Maine,0.06,4,0.56,-193,393,4,116
Chairs & Chairmats,Sioux City,Jumbo Drum,2796,Cindy McLeod,Corporate,Furniture,10542,Office Star Flex Back Scooter Chair with White Frame,8/18/2014,87558,Critical,51106,Central,2/1/1969,8/18/2014,Delivery Truck,Iowa,0.01,22,0.71,162,2576,30,111
Office Furnishings,Westminster,Wrap Bag,464,Patrick Rhodes,Small Business,Furniture,10865,"Master Caster Door Stop, Brown",1/1/2016,88063,Low,92683,West,2/12/1970,1/1/2016,Regular Air,California,0.06,14,0.51,17,68,2,5
Labels,Dallas,Small Box,1106,Maxine Collier Grady,Consumer,Office Supplies,11004,Avery 510,9/3/2015,31301,Low,75220,Central,1/13/1912,9/3/2015,Regular Air,Texas,0.06,56,0.37,35,198,1,4
Labels,Lancaster,Small Box,1108,Dwight Bishop,Consumer,Office Supplies,11004,Avery 510,12/14/2015,86414,Low,75146,Central,4/25/1961,12/14/2015,Regular Air,Texas,0.06,14,0.37,34,50,1,4
Computer Peripherals,Land O Lakes,Small Box,2241,Gary Hoffman,Corporate,Technology,10808,Logitech Access Keyboard,11/19/2014,89103,High,34639,South,3/25/1963,11/20/2014,Regular Air,Florida,0.08,2,0.48,15,34,7,16
Computer Peripherals,Houston,Small Pack,1999,Priscilla Kane,Corporate,Technology,10676,Fuji 5.2GB DVD-RAM,9/29/2015,54146,Low,77070,Central,9/19/1920,9/29/2015,Regular Air,Texas,0.06,5,0.55,-135,208,2,41
Computer Peripherals,Harrisonburg,Small Pack,2002,Nelson House,Corporate,Technology,10676,Fuji 5.2GB DVD-RAM,2/3/2016,90570,Low,22801,South,12/31/1969,2/3/2016,Regular Air,Virginia,0.06,1,0.55,508,42,2,41
Paper,Worcester,Small Box,942,Jackie Neal,Home Office,Office Supplies,11118,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",8/7/2015,90845,Not Specified,1605,East,2/5/1968,8/7/2015,Regular Air,Massachusetts,0.07,5,0.37,-34,34,6,6
Paper,Sioux Falls,Small Box,2619,Brandon E Shepherd,Corporate,Office Supplies,11129,Xerox 1891,8/3/2015,88018,Low,57103,Central,11/7/1958,8/3/2015,Regular Air,South Dakota,0.05,15,0.38,516,748,6,49
Paper,Boston,Small Box,2618,Amy Hamrick Melvin,Corporate,Office Supplies,11129,Xerox 1891,1/23/2016,24903,Low,2129,East,7/27/1909,1/27/2016,Regular Air,Massachusetts,0.05,59,0.38,595,2944,6,49
Appliances,Braintree,Large Box,2611,Karen Lin,Corporate,Office Supplies,10287,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,9/28/2015,86121,Low,2184,East,3/21/1951,9/28/2015,Regular Air,Massachusetts,0.07,6,0.54,52,458,20,77
Bookcases,Port Arthur,Jumbo Box,3184,Irene Conway,Home Office,Furniture,10341,Rush Hierlooms Collection Rich Wood Bookcases,8/18/2015,90693,Medium,77642,Central,10/19/1960,8/18/2015,Delivery Truck,Texas,0.03,19,0.72,437,3220,35,161
Paper,Southbury,Small Box,629,Alan Griffith,Small Business,Office Supplies,10509,HP Office Paper (20Lb. and 87 Bright),1/7/2016,91160,Low,6488,East,8/31/1961,1/11/2016,Express Air,Connecticut,0.1,2,0.37,-11,20,7,7
Pens & Art Supplies,Marion,Small Pack,1463,Ellen Kirkland,Consumer,Office Supplies,10370,Boston 19500 Mighty Mite Electric Pencil Sharpener,10/29/2015,86402,High,46952,Central,7/17/1962,10/29/2015,Regular Air,Indiana,0.04,13,0.58,-15,273,9,20
Binders and Binder Accessories,Silver Spring,Small Box,1430,Rebecca Rhodes,Home Office,Office Supplies,10577,GBC Standard Therm-A-Bind Covers,12/12/2013,89934,Critical,20901,East,4/27/1969,12/11/2014,Regular Air,Maryland,0.1,12,0.39,-3,294,13,25
Binders and Binder Accessories,Plum,Small Box,2227,Wallace Mack,Corporate,Office Supplies,10935,Durable Pressboard Binders,9/10/2015,89157,Medium,15239,East,8/5/1951,9/10/2015,Regular Air,Pennsylvania,0.04,2,0.38,-2,8,1,4
Paper,Columbus,Small Box,339,Bobby Clements,Corporate,Office Supplies,10534,Xerox 1922,11/3/2015,90585,Low,43229,East,12/27/1963,11/9/2015,Regular Air,Ohio,0.09,5,0.36,-25,26,7,5
Bookcases,Los Angeles,Jumbo Box,3004,Maurice Everett,Corporate,Furniture,10352,O'Sullivan 5-Shelf Heavy-Duty Bookcases,8/13/2015,45668,Not Specified,90049,West,8/2/1917,8/13/2015,Delivery Truck,California,0.01,15,0.6,-299,1321,56,82
Office Furnishings,Columbia,Small Box,2129,Alan Chase,Home Office,Furniture,10648,"Seth Thomas 12"" Clock w/ Goldtone Case",12/3/2015,90081,Medium,65203,Central,2/18/1953,12/3/2015,Regular Air,Missouri,0.08,15,0.51,179,324,8,23
Binders and Binder Accessories,Aiken,Small Box,2926,Derek Tuttle,Consumer,Office Supplies,10332,Staples® General Use 3-Ring Binders,2/8/2016,90221,Not Specified,29801,South,7/30/1955,2/10/2016,Regular Air,South Carolina,0.05,15,0.37,117,29,1,2
Pens & Art Supplies,Aiken,Wrap Bag,2926,Derek Tuttle,Consumer,Office Supplies,10049,"Avery Hi-Liter® EverBold™ Pen Style Fluorescent Highlighters, 4/Pack",2/8/2016,90221,Not Specified,29801,South,7/31/1955,2/10/2016,Regular Air,South Carolina,0.07,11,0.45,5,85,3,8
Pens & Art Supplies,Bridgeton,Small Pack,1599,Hugh Mills,Small Business,Office Supplies,11121,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,2/18/2016,91074,High,63044,Central,8/25/1956,2/18/2016,Regular Air,Missouri,0.02,15,0.55,224,324,3,22
Appliances,Roseville,Small Box,1123,Peggy Lanier,Small Business,Office Supplies,10500,Staples 4 Outlet Surge Protector,2/26/2016,87017,High,95661,West,9/22/1955,2/26/2016,Regular Air,California,0.08,7,0.58,-9,59,4,9
Computer Peripherals,Gainesville,Small Box,2901,Shawn E Craig,Home Office,Technology,11229,US Robotics 56K V.92 Internal PCI Faxmodem,11/20/2014,86294,High,30501,South,3/5/1972,11/20/2014,Express Air,Georgia,0.05,9,0.45,-633,435,20,50
Chairs & Chairmats,Westland,Jumbo Drum,2159,Wesley Field,Corporate,Furniture,10948,"Metal Folding Chairs, Beige, 4/Carton",12/19/2014,90390,Medium,48185,Central,11/19/1960,12/19/2014,Delivery Truck,Michigan,0.09,2,0.58,-44,69,19,34
Office Furnishings,Bridgeton,Small Box,1599,Hugh Mills,Small Business,Furniture,10635,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,2/18/2016,91074,High,63044,Central,8/24/1956,2/18/2016,Regular Air,Missouri,0.08,4,0.43,212,307,20,79
Paper,Norfolk,Small Box,445,Judy Barrett,Small Business,Office Supplies,10525,HP Office Recycled Paper (20Lb. and 87 Bright),8/2/2015,88086,Not Specified,68701,Central,1/26/1963,8/10/2015,Regular Air,Nebraska,0.06,19,0.36,-80,114,8,6
Office Furnishings,Westland,Small Box,2159,Wesley Field,Corporate,Furniture,10146,9-3/4 Diameter Round Wall Clock,12/18/2015,90390,Medium,48185,Central,11/20/1960,12/18/2015,Regular Air,Michigan,0.03,23,0.43,-8,318,9,14
Chairs & Chairmats,Arlington,Jumbo Drum,886,Betty Barbour,Corporate,Furniture,11162,"Global Deluxe Stacking Chair, Gray",11/10/2015,89544,Low,76017,Central,11/22/1953,11/10/2015,Regular Air,Texas,0.08,1,0.56,-23,28,9,25
Chairs & Chairmats,Arlington,Jumbo Drum,886,Betty Barbour,Corporate,Furniture,10847,Bevis Steel Folding Chairs,11/10/2015,89544,Low,76017,Central,11/21/1953,11/10/2015,Delivery Truck,Texas,0.03,22,0.57,1298,4740,68,208
Office Furnishings,Arlington,Large Box,886,Betty Barbour,Corporate,Furniture,10280,"Dana Fluorescent Magnifying Lamp, White, 36""",11/8/2016,89544,Low,76017,Central,11/23/1953,11/8/2016,Regular Air,Texas,0.01,4,0.55,-21,17,6,3
Paper,Whittier,Small Box,465,Ricky Johnston,Small Business,Office Supplies,11181,Xerox 1885,12/14/2013,88064,Medium,90604,West,3/14/1970,12/15/2014,Regular Air,California,0.02,13,0.37,441,640,7,48
Computer Peripherals,Mount Pleasant,Small Pack,2945,Benjamin Norman Rodgers,Corporate,Technology,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",7/11/2016,90311,Not Specified,48858,Central,4/16/1967,7/11/2016,Regular Air,Michigan,0.09,11,0.52,15,90,2,8
Computer Peripherals,Essex Junction,Small Box,88,Phillip Clapp,Corporate,Technology,10282,Fellowes 17-key keypad for PS/2 interface,1/12/2016,90598,Not Specified,5451,East,4/16/1954,1/12/2016,Express Air,Vermont,0.02,14,0.75,85,462,4,31
Office Furnishings,Fremont,Wrap Bag,386,Sue Nichols,Corporate,Furniture,10241,3M Hangers With Command Adhesive,10/1/2015,90343,Critical,68025,Central,4/14/1955,10/1/2015,Regular Air,Nebraska,0.05,15,0.44,19,58,2,4
Binders and Binder Accessories,Grand Island,Small Box,387,Angela Howe,Corporate,Office Supplies,11071,"Avery Flip-Chart Easel Binder, Black",9/29/2016,90343,Critical,68801,Central,4/15/1955,9/29/2016,Express Air,Nebraska,0.07,19,0.38,-74,410,15,22
"Scissors, Rulers and Trimmers",Florissant,Small Pack,2130,Theodore Garrison,Home Office,Office Supplies,10793,Fiskars® Softgrip Scissors,12/15/2013,90082,Not Specified,63031,Central,2/1/1955,12/15/2014,Regular Air,Missouri,0.04,11,0.57,29,126,3,11
Telephones and Communication,Grand Island,Medium Box,387,Angela Howe,Corporate,Technology,11113,1726 Digital Answering Machine,10/1/2015,90343,Critical,68801,Central,4/17/1955,10/1/2015,Regular Air,Nebraska,0.01,1,0.58,-48,19,5,21
Office Furnishings,Port Huron,Small Box,3001,Anthony Foley,Corporate,Furniture,10731,Hand-Finished Solid Wood Document Frame,2/2/2016,87047,Medium,48060,Central,6/12/1963,2/2/2016,Regular Air,Michigan,0,3,0.55,78,113,5,34
Paper,Florissant,Small Box,2130,Theodore Garrison,Home Office,Office Supplies,11209,Xerox 212,12/16/2013,90082,Not Specified,63031,Central,1/30/1955,12/15/2014,Regular Air,Missouri,0.06,21,0.37,-103,137,8,6
Storage & Organization,Florissant,Small Box,2130,Theodore Garrison,Home Office,Office Supplies,10140,Project Tote Personal File,12/16/2013,90082,Not Specified,63031,Central,2/2/1955,12/15/2014,Regular Air,Missouri,0.09,5,0.56,-29,71,9,14
Pens & Art Supplies,Florissant,Wrap Bag,2130,Theodore Garrison,Home Office,Office Supplies,10443,"Binney & Smith inkTank™ Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",12/16/2013,90082,Not Specified,63031,Central,1/31/1955,12/15/2014,Regular Air,Missouri,0.06,15,0.44,-45,40,4,3
Storage & Organization,Richmond,Small Box,1622,Sue Boykin,Small Business,Office Supplies,10656,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",7/22/2016,87613,Low,47374,Central,3/20/1950,7/22/2016,Regular Air,Indiana,0.09,6,0.73,-60,817,20,141
Telephones and Communication,Port Huron,Small Box,3001,Anthony Foley,Corporate,Technology,10150,g520,2/2/2016,87047,Medium,48060,Central,6/13/1963,2/2/2016,Express Air,Michigan,0.07,13,0.59,340,718,5,66
Computer Peripherals,Grand Island,Small Box,387,Angela Howe,Corporate,Technology,10752,Belkin 105-Key Black Keyboard,10/2/2014,90343,Critical,68801,Central,4/16/1955,10/2/2014,Regular Air,Nebraska,0.06,21,0.68,17,412,4,20
Computer Peripherals,Florissant,Small Box,2130,Theodore Garrison,Home Office,Technology,10623,"Fellowes Basic 104-Key Keyboard, Platinum",12/17/2013,90082,Not Specified,63031,Central,1/29/1955,12/15/2014,Regular Air,Missouri,0.08,5,0.65,-34,105,6,21
Chairs & Chairmats,Killingly Center,Jumbo Drum,3078,Kate McKenna,Consumer,Furniture,10913,Office Star - Task Chair with Contemporary Loop Arms,11/2/2015,88245,Low,6241,East,1/24/1971,11/2/2015,Delivery Truck,Connecticut,0.03,5,0.61,-36,483,30,91
Chairs & Chairmats,Philadelphia,Jumbo Drum,3079,Andrew Levine,Consumer,Furniture,10913,Office Star - Task Chair with Contemporary Loop Arms,7/1/2015,56837,Low,19112,East,10/13/1921,7/1/2015,Delivery Truck,Pennsylvania,0.03,19,0.61,-71,1834,30,91
Telephones and Communication,Steubenville,Small Box,663,Hilda Bennett,Home Office,Technology,10631,Item 10631,11/24/2014,90924,Low,43952,East,9/23/1964,11/24/2014,Regular Air,Ohio,0,14,0.59,1503,2178,5,176
Paper,Avenel,Small Box,791,Samuel Moss,Corporate,Office Supplies,10098,Xerox 1984,7/2/2016,88755,Low,7001,East,3/19/1951,7/4/2016,Express Air,New Jersey,0.04,1,0.36,-16,10,9,6
Rubber Bands,Rutherford,Wrap Bag,1168,Angela Wooten,Corporate,Office Supplies,11060,Acco® Hot Clips™ Clips to Go,2/9/2016,89120,Low,7070,East,9/10/1956,2/12/2016,Regular Air,New Jersey,0.04,1,0.4,-4,4,1,3
Chairs & Chairmats,East Haven,Jumbo Drum,790,Calvin Harrison,Corporate,Furniture,11083,"Global Leather and Oak Executive Chair, Black",7/5/2014,88755,Low,6512,East,3/20/1951,7/7/2014,Delivery Truck,Connecticut,0.09,8,0.56,763,2230,65,301
Office Furnishings,Summerville,Small Box,2287,Samuel Newman,Corporate,Furniture,10481,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",11/9/2015,90149,High,29483,South,7/6/1968,11/9/2015,Regular Air,South Carolina,0,3,0.44,-346,153,7,47
Storage & Organization,Oak Park,Small Box,2999,Kim McCarthy,Corporate,Office Supplies,10140,Project Tote Personal File,2/26/2013,87049,Critical,48237,Central,1/30/1951,2/26/2014,Express Air,Michigan,0,6,0.56,-80,88,9,14
Binders and Binder Accessories,Sanford,Small Box,3155,Julian Keith Mayer,Consumer,Office Supplies,11095,Ibico Laser Imprintable Binding System Covers,11/16/2016,86906,High,32771,South,2/11/1967,11/16/2016,Regular Air,Florida,0.02,2,0.39,1,107,16,52
Office Furnishings,Summerville,Wrap Bag,2287,Samuel Newman,Corporate,Furniture,10901,Flat Face Poster Frame,11/9/2015,90149,High,29483,South,7/5/1968,11/9/2015,Regular Air,South Carolina,0.06,5,0.43,-100,90,4,19
Paper,Tigard,Small Box,3156,Norman Ward,Consumer,Office Supplies,10363,Xerox 198,11/19/2014,86906,High,97224,West,2/12/1967,11/19/2014,Regular Air,Oregon,0.07,4,0.38,348,22,8,5
Storage & Organization,Palm Bay,Small Box,2034,Douglas English,Consumer,Office Supplies,10770,"Dual Level, Single-Width Filing Carts",11/9/2015,87122,High,32905,South,12/12/1965,11/9/2015,Regular Air,Florida,0.05,11,0.59,335,1669,7,155
Paper,Alexandria,Small Box,2462,Ray Cook,Corporate,Office Supplies,10643,Xerox 1932,10/28/2015,88715,Medium,71301,South,4/25/1952,10/28/2015,Regular Air,Louisiana,0.04,3,0.38,610,111,5,35
Paper,Harker Heights,Wrap Bag,2218,Hilda Fletcher,Home Office,Office Supplies,10539,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",1/28/2016,91225,Not Specified,76543,Central,4/11/1957,1/28/2016,Regular Air,Texas,0.08,5,0.38,2,46,4,9
Binders and Binder Accessories,Myrtle Beach,Small Box,2099,Nathan Fox,Home Office,Office Supplies,10258,Satellite Sectional Post Binders,8/25/2015,87895,Critical,29577,South,3/9/1955,8/25/2015,Regular Air,South Carolina,0.08,6,0.39,-610,259,3,43
